"date","sp500","volat","jobClm","recession"
2010-01-30,1073.87,24.62,505000,"No"
2010-02-06,1066.19,26.11,463000,"No"
2010-02-13,1075.51,22.73,490000,"No"
2010-02-20,1109.17,20.02,501000,"No"
2010-02-27,1104.49,19.5,488000,"No"
2010-03-06,1138.7,17.42,469000,"No"
2010-03-13,1149.99,17.58,473000,"No"
2010-03-20,1159.9,16.97,469000,"No"
2010-03-27,1166.59,17.77,460000,"No"
2010-04-10,1194.37,16.14,477000,"No"
2010-04-17,1192.13,18.36,476000,"No"
2010-04-24,1217.28,16.62,450000,"No"
2010-05-01,1186.69,22.05,448000,"No"
2010-05-08,1110.88,40.95,451000,"No"
2010-05-15,1135.68,31.24,478000,"No"
2010-05-22,1087.69,40.1,463000,"No"
2010-05-29,1089.41,32.07,461000,"No"
2010-06-05,1064.88,35.48,460000,"No"
2010-06-12,1091.6,28.79,472000,"No"
2010-06-19,1117.51,23.95,458000,"No"
2010-06-26,1076.76,28.53,466000,"No"
2010-07-03,1022.58,30.12,457000,"No"
2010-07-10,1077.96,24.98,439000,"No"
2010-07-17,1064.88,26.25,462000,"No"
2010-07-24,1102.66,23.47,459000,"No"
2010-07-31,1101.6,23.5,474000,"No"
2010-08-07,1121.64,21.74,479000,"No"
2010-08-14,1079.25,26.24,484000,"No"
2010-08-21,1071.69,25.49,464000,"No"
2010-08-28,1064.59,24.45,465000,"No"
2010-09-04,1104.51,21.31,450000,"No"
2010-09-11,1109.55,21.99,440000,"No"
2010-09-18,1125.59,22.01,457000,"No"
2010-09-25,1148.67,21.71,449000,"No"
2010-10-02,1146.24,22.5,446000,"No"
2010-10-09,1165.15,20.71,457000,"No"
2010-10-16,1176.19,19.03,451000,"No"
2010-10-23,1183.08,18.78,430000,"No"
2010-10-30,1183.26,21.2,454000,"No"
2010-11-06,1225.85,18.26,433000,"No"
2010-11-13,1199.21,20.61,440000,"No"
2010-11-20,1199.73,18.04,413000,"No"
2010-11-27,1189.4,22.22,434000,"No"
2010-12-04,1224.71,18.01,427000,"No"
2010-12-11,1240.4,17.61,430000,"No"
2010-12-18,1243.91,16.11,427000,"No"
2011-01-01,1257.64,17.75,419000,"No"
2011-01-08,1271.5,17.14,430000,"No"
2011-01-15,1293.24,15.46,423000,"No"
2011-01-22,1283.35,18.47,435000,"No"
2011-01-29,1276.34,20.04,433000,"No"
2011-02-05,1310.87,15.93,403000,"No"
2011-02-12,1329.15,15.69,429000,"No"
2011-02-19,1343.01,16.43,398000,"No"
2011-02-26,1319.88,19.22,392000,"No"
2011-03-05,1321.15,19.06,415000,"No"
2011-03-12,1304.28,20.08,401000,"No"
2011-03-19,1279.21,24.44,407000,"No"
2011-03-26,1313.8,17.91,401000,"No"
2011-04-02,1332.41,17.4,4e+05,"No"
2011-04-09,1328.17,17.87,416000,"No"
2011-04-16,1319.68,15.32,414000,"No"
2011-04-30,1363.61,14.75,464000,"No"
2011-05-07,1340.2,18.4,430000,"No"
2011-05-14,1337.77,17.07,418000,"No"
2011-05-21,1333.27,17.43,424000,"No"
2011-05-28,1331.1,15.98,426000,"No"
2011-06-04,1300.16,17.95,425000,"No"
2011-06-11,1270.98,18.86,418000,"No"
2011-06-18,1271.5,21.85,424000,"No"
2011-06-25,1268.45,21.1,425000,"No"
2011-07-02,1339.67,15.87,422000,"No"
2011-07-09,1343.8,15.95,410000,"No"
2011-07-16,1316.14,19.53,418000,"No"
2011-07-23,1345.02,17.52,402000,"No"
2011-07-30,1292.28,25.25,402000,"No"
2011-08-06,1199.38,32,399000,"No"
2011-08-13,1178.81,36.36,408000,"No"
2011-08-20,1123.53,43.05,414000,"No"
2011-08-27,1176.8,35.59,407000,"No"
2011-09-03,1173.97,33.92,411000,"No"
2011-09-10,1154.23,38.52,421000,"No"
2011-09-17,1216.01,30.98,417000,"No"
2011-09-24,1136.43,41.25,393000,"No"
2011-10-01,1131.42,42.96,402000,"No"
2011-10-08,1155.46,36.2,402000,"No"
2011-10-15,1224.58,28.24,402000,"No"
2011-10-22,1238.25,31.32,397000,"No"
2011-10-29,1285.09,24.53,398000,"No"
2011-11-05,1253.23,30.16,388000,"No"
2011-11-12,1263.85,30.04,392000,"No"
2011-11-19,1215.65,32,391000,"No"
2011-11-26,1158.67,34.47,399000,"No"
2011-12-03,1244.28,27.52,383000,"No"
2011-12-10,1255.19,26.38,371000,"No"
2011-12-17,1219.66,24.29,370000,"No"
2011-12-24,1265.33,20.73,384000,"No"
2011-12-31,1257.6,23.4,383000,"No"
2012-01-07,1277.81,20.63,390000,"No"
2012-01-14,1289.09,20.91,364000,"No"
2012-01-21,1315.38,18.28,372000,"No"
2012-01-28,1316.33,18.53,381000,"No"
2012-02-04,1344.9,17.1,371000,"No"
2012-02-11,1342.64,20.77,361000,"No"
2012-02-18,1361.23,17.78,362000,"No"
2012-02-25,1365.74,17.31,373000,"No"
2012-03-03,1369.63,17.29,374000,"No"
2012-03-10,1370.87,17.11,363000,"No"
2012-03-17,1404.17,14.43,364000,"No"
2012-03-24,1397.11,14.82,363000,"No"
2012-03-31,1408.47,15.5,362000,"No"
2012-04-14,1370.26,19.55,389000,"No"
2012-04-21,1378.53,17.44,392000,"No"
2012-04-28,1403.36,16.32,368000,"No"
2012-05-05,1369.1,19.16,370000,"No"
2012-05-12,1353.39,19.89,372000,"No"
2012-05-19,1295.22,25.1,373000,"No"
2012-05-26,1317.82,21.76,389000,"No"
2012-06-02,1278.04,26.66,380000,"No"
2012-06-09,1325.66,21.23,389000,"No"
2012-06-16,1342.84,21.11,392000,"No"
2012-06-23,1335.02,18.11,388000,"No"
2012-07-07,1354.68,17.1,352000,"No"
2012-07-14,1356.78,16.74,388000,"No"
2012-07-21,1362.66,16.27,353000,"No"
